segment,zeroed,duration_label,purpose,axis,mean,std,min,p1,p50,p99,max,abs_gt_1,abs_gt_2,abs_gt_5,start_5s_mean,end_5s_mean,delta_end_minus_start,linear_slope
S00_prezero_60s,No,60 s,payload 0.009 kg pre-zero baseline,Fx,-1.2471808314378003,0.2546897182317367,-2.0709321001738004,-1.8310166661563083,-1.2400277659553285,-0.6446832921792147,-0.38598453357840323,1012,3,0,-1.2532376013340076,-1.3388313883197092,-0.08559378698570153,-0.00010099311851199866
S00_prezero_60s,No,60 s,payload 0.009 kg pre-zero baseline,Fy,-1.1006581714204415,0.2614662998500799,-2.053975613338984,-1.695589927827194,-1.0985464747523568,-0.5315777460248268,-0.2870650570147701,783,1,0,-1.0274364734507133,-1.1906003645298298,-0.16316389107911644,-0.0027463669850722365
S00_prezero_60s,No,60 s,payload 0.009 kg pre-zero baseline,Fz,-1.8767864647242596,0.3264512936973846,-2.7668876948036494,-2.5843985750510634,-1.8896373034160558,-1.13670275997307,-0.8441293759224617,1193,427,0,-1.5210295019157742,-2.0728599033359405,-0.5518304014201663,-0.011259288862657072
S00_prezero_60s,No,60 s,payload 0.009 kg pre-zero baseline,|F|,2.538952462611886,0.2876772307233224,1.6931930771721186,1.9028973378724543,2.545842177407364,3.1769580226917618,3.2762894679914343,1200,1160,0,2.2547023629949123,2.76089725952722,0.5061948965323078,0.009347159923693348
S01_rezero_60s,Yes,60 s,payload 0.009 kg post-zero short drift,Fx,0.18092263875872483,0.2627074915830214,-0.8711803845595173,-0.4019711103192887,0.18875022536888802,0.7692466432502266,0.878253288908977,0,0,0,0.28099834746381325,0.05595820028219574,-0.22504014718161752,-0.0037034198058793783
S01_rezero_60s,Yes,60 s,payload 0.009 kg post-zero short drift,Fy,-0.20967607682152345,0.26170273877611555,-0.9907933486807885,-0.84322874435394,-0.21767596592795693,0.44056643690169095,0.5793797813673993,0,0,0,-0.08729939956750116,-0.3250529651135955,-0.23775356554609434,-0.004656283062583045
S01_rezero_60s,Yes,60 s,payload 0.009 kg post-zero short drift,Fz,0.1611503001167653,0.2992222011331055,-0.7581350978541561,-0.498780369393351,0.15390884942759453,0.8674300464085576,1.1353223052004977,4,0,0,0.2937644790713681,0.21200848607821168,-0.08175599299315642,-0.0032433491221723555
S01_rezero_60s,Yes,60 s,payload 0.009 kg post-zero short drift,|F|,0.5328214686155602,0.21402157714695538,0.04410886728659018,0.12695689145342948,0.5113767923506876,1.0489735778878675,1.2700086926339689,20,0,0,0.57022154729167,0.5521557470236962,-0.018065800267973775,-0.000953409681381168
S02_rezero_600s,Yes,600 s,payload 0.009 kg post-zero mid drift,Fx,-1.1106743677492212,0.5855056315188398,-2.7217800282762643,-2.283504647264043,-1.1293727356939134,0.14224973915543807,0.599867632918077,6887,674,0,-0.16721077484334881,-2.023068272912847,-1.855857498069498,-0.003041025982696668
S02_rezero_600s,Yes,600 s,payload 0.009 kg post-zero mid drift,Fy,-0.7239088435757144,0.4746072146409997,-2.35202021334156,-1.8019643463702881,-0.6934315469592324,0.2491911094024401,1.0822433542168115,3378,24,0,-0.1203660659452004,-1.4515841128464102,-1.3312180469012098,-0.0022621316934426923
S02_rezero_600s,Yes,600 s,payload 0.009 kg post-zero mid drift,Fz,-1.9113049875499222,1.3772775152569696,-4.877795532102127,-4.353425885134142,-1.9349638436904932,0.5449814512690234,1.0241166891550115,8016,5878,0,0.30563865764181375,-3.9655090277418705,-4.271147685383684,-0.007740738667358532
S02_rezero_600s,Yes,600 s,payload 0.009 kg post-zero mid drift,|F|,2.4288167732505173,1.405894593899003,0.03340803517276182,0.2552971794092339,2.367470677978331,5.01310422418097,5.476568369372715,9428,6624,130,0.5664296782373728,4.696796189285006,4.130366511047633,0.007942083384633144
