elapsed_h,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
0.0,2.43794392,-1.09227684,-0.928559491,0.0520392852,-0.0638403072,0.0607896007
0.016673588966384868,2.45958131,-1.09509884,-0.942738677,0.052383121,-0.0641818735,0.0611132568
0.033339972965542176,2.43378183,-1.08205794,-0.91547738,0.0525011533,-0.0638019205,0.0611624434
0.05000646510193797,2.46502759,-1.11890904,-0.928307562,0.0512524593,-0.0644811989,0.0606125636
0.06667306299387646,2.4417775,-1.12031299,-0.897339081,0.05113271,-0.0640128873,0.0607540179
0.08333951422443432,2.43513587,-1.12396275,-0.9359846,0.0513681581,-0.0636168417,0.0607236639
0.10000615399998626,2.42055644,-1.09148028,-0.91363767,0.0522033257,-0.0635245466,0.0608425273
0.1166725668013775,2.44347963,-1.09114404,-0.902640475,0.051955114,-0.0635827248,0.0616729639
0.1333390806033276,2.41310714,-1.09702367,-0.936333413,0.0520559577,-0.0633927826,0.061241226
0.15000569349138662,2.41505009,-1.07405196,-0.904672347,0.0522006954,-0.0636335919,0.0607802803
0.16667218799998712,2.41437614,-1.12074269,-0.916315292,0.0512746438,-0.0632872764,0.0605240314
0.18333888414888255,2.44061898,-1.09197281,-0.918338103,0.051481496,-0.0638826668,0.0609282557
0.20000529592611,2.44127292,-1.0745865,-0.910241744,0.0523079049,-0.0635097144,0.0609136928
0.216671899509157,2.41716533,-1.10281504,-0.923778906,0.0517433755,-0.0634704327,0.060494545
0.2333384907424948,2.41711024,-1.12282878,-0.931772316,0.051355221,-0.0639551429,0.0614268026
0.2500055749824969,2.44353735,-1.09310956,-0.92709541,0.051894205,-0.0640025074,0.060942887
0.2666724679505569,2.43427034,-1.1071923,-0.899217004,0.0517746429,-0.0636108549,0.060572364
0.2777837981622239,2.43636206,-1.09852406,-0.911674554,0.0517581667,-0.0638519109,0.0608673147
0.2944505486524981,2.39225403,-1.09983756,-0.921579788,0.0520626478,-0.062831637,0.0608913166
0.311117523661944,2.43666045,-1.08854386,-0.911418825,0.0516898461,-0.0641313306,0.0605231455
0.32778423434277,2.38938973,-1.11588246,-0.917328268,0.051420345,-0.0633138493,0.0609751544
0.34445113309389047,2.42383824,-1.09703412,-0.902326295,0.0518540191,-0.0634060987,0.0608867272
0.3611177703619372,2.44602888,-1.07652829,-0.884240822,0.0521182413,-0.0642456274,0.0603695897
0.3777848280099958,2.44024503,-1.11115945,-0.90488051,0.051697285,-0.0639031524,0.0611202894
0.3944513673299904,2.44509437,-1.09545708,-0.915461963,0.0517073726,-0.0639749664,0.0613479561
0.4111182975161096,2.46515268,-1.09567386,-0.894340922,0.0515268558,-0.0644491141,0.060851939
0.42778487909082386,2.42528712,-1.10438243,-0.910868206,0.0514981183,-0.063587707,0.0611368615
0.44445154679916515,2.43717586,-1.10807844,-0.907110314,0.0512477786,-0.0633425548,0.0611161201
0.4611182701861091,2.42867632,-1.10635454,-0.898236468,0.051523714,-0.0635989544,0.0610407716
0.4777849840691649,2.43860238,-1.10728232,-0.910930384,0.0513294153,-0.0639348764,0.0601333379
0.4944517534266601,2.44045049,-1.10035756,-0.916002281,0.0518291769,-0.0640695722,0.0606775003
0.5111184369019368,2.43208189,-1.07344376,-0.911748715,0.0520248091,-0.0641419798,0.0606035355
0.5277851518719399,2.44732929,-1.10858668,-0.910488778,0.0514890035,-0.0640272309,0.0602441687
0.5444517589727669,2.43499924,-1.09000502,-0.892209317,0.0517222916,-0.0639685595,0.0610995343
0.55556288064527,2.43727449,-1.09377285,-0.898089388,0.0515520907,-0.0638299913,0.0611242532
0.5722296358202745,2.43736583,-1.09488739,-0.902594956,0.0513413751,-0.0642341836,0.0602340857
0.588896240434438,2.43980971,-1.10734589,-0.904169439,0.0512693648,-0.0640015485,0.0608901795
0.6055629334419306,2.44084548,-1.07757918,-0.873697582,0.0524918056,-0.0643076598,0.0607482184
0.6222295420208279,2.43217352,-1.08617341,-0.870022766,0.0521813011,-0.0643583717,0.0605897673
0.6388963735430541,2.43921306,-1.1042119,-0.894786036,0.0515328243,-0.0638760315,0.0605141584
0.6555628633325008,2.42349118,-1.09120811,-0.883075578,0.0515721654,-0.0637543277,0.0606245143
0.6722295160172184,2.42553028,-1.0821888,-0.896518412,0.0518902001,-0.0639191446,0.0606288617
0.6888962378033223,2.4272175,-1.08730314,-0.88524883,0.0518398353,-0.0637350339,0.0608766944
0.7055627384549977,2.44115411,-1.08499567,-0.897705211,0.0519023198,-0.0646970793,0.0608056431
0.7222295110222088,2.40662757,-1.0975105,-0.882081818,0.0515146859,-0.0635184411,0.0610492243
0.7388960836197171,2.42178262,-1.08763661,-0.874494577,0.0518420181,-0.0638855391,0.0611725173
0.7555627493922171,2.44221999,-1.06929519,-0.893538958,0.0522773545,-0.0641510171,0.0609220679
0.7722293706941612,2.43333584,-1.10138033,-0.878798704,0.0519779058,-0.063594292,0.0604202102
0.7888961455877709,2.45297329,-1.08555506,-0.908613997,0.052221761,-0.0643120529,0.0609373294
0.8055627931530439,2.45331787,-1.09679848,-0.878957037,0.0515630688,-0.0644897156,0.0600465775
0.8222300308694442,2.41804782,-1.09609888,-0.889800137,0.0515699552,-0.0639436488,0.0608126847
0.8333413526113792,2.4284279,-1.0894034,-0.879343479,0.0518686824,-0.0639480556,0.0606691115
0.85000839077583,2.42553218,-1.08660245,-0.888574102,0.0520112783,-0.0638491846,0.0603066303
0.8666753058944434,2.4176312,-1.09693248,-0.886754997,0.0516285078,-0.0637198089,0.0604292977
0.8833423448838746,2.41281576,-1.09829888,-0.874780482,0.0513326165,-0.063626089,0.060907665
0.9000092908752655,2.44169406,-1.09427532,-0.894152633,0.0523210795,-0.0642123462,0.0611120604
0.9166763044358232,2.42531269,-1.06164022,-0.881494812,0.052194704,-0.0637343169,0.0600986867
0.9333430222199887,2.44203616,-1.08291945,-0.891018792,0.0521880688,-0.0643514396,0.0608003276
0.9500099511788802,2.41758794,-1.10036034,-0.876319382,0.0512112734,-0.0644708556,0.0605929776
0.9666767259694461,2.4148591,-1.07069439,-0.907972703,0.0522619058,-0.0639830584,0.0606671433
0.9833435624177703,2.44239622,-1.09728648,-0.88471487,0.0516434497,-0.0644706455,0.0598816327
1.0000105414099947,2.4037206,-1.11834747,-0.895385317,0.0511006024,-0.0636193853,0.0603062696
1.0166773367072164,2.41000348,-1.11712764,-0.869378915,0.0512074192,-0.0636451591,0.0609182412
1.0333440712544446,2.43896245,-1.11807135,-0.90597415,0.0511645527,-0.0643351141,0.0606520736
1.0500108103469312,2.41474381,-1.07779706,-0.885582812,0.0519932997,-0.0635276154,0.0610477036
1.0666776589044376,2.43387638,-1.1027609,-0.882016424,0.0517585274,-0.0638336902,0.0610939356
1.0833444042805545,2.41898422,-1.10923411,-0.886831935,0.0510859847,-0.0635733222,0.0612711554
1.1000110667905472,2.42313009,-1.11559422,-0.880491699,0.0512494819,-0.0642431432,0.0610497266
1.1111221555644362,2.42813754,-1.08622002,-0.890124912,0.0517078886,-0.064356851,0.0612367873
1.1277889595219392,2.4361186,-1.10567503,-0.891496346,0.0510352546,-0.0641318557,0.0613979784
1.144455635140831,2.4338885,-1.10721671,-0.886476692,0.05113371,-0.063984611,0.0610552248
1.1611225799327722,2.40465393,-1.08795547,-0.871007904,0.0520786399,-0.0636450449,0.0605108796
1.177789192139155,2.42713713,-1.11073575,-0.894254705,0.0509825472,-0.0642470614,0.0606594943
1.1944558897724913,2.44040198,-1.10648803,-0.87184136,0.0513770493,-0.0641869241,0.0604778359
1.211122638985269,2.41722642,-1.11746586,-0.891159589,0.0511358381,-0.0640795456,0.0606838159
1.2277892607666663,2.42692597,-1.11021231,-0.87441764,0.0513626691,-0.064031697,0.0608923989
1.2444559748958273,2.44766948,-1.11027098,-0.880811798,0.0516135386,-0.0641764666,0.0605008377
1.2611226807386104,2.44025935,-1.09039285,-0.888618745,0.0516967645,-0.0640278337,0.0605579793
1.277789565029719,2.42401315,-1.10104079,-0.876612446,0.0512865306,-0.0640789017,0.0602813772
1.2944562683541638,2.43233967,-1.0901958,-0.902420111,0.051701911,-0.0643204736,0.0605140808
1.311122927503602,2.42639303,-1.08138135,-0.873819016,0.0513539332,-0.0640516392,0.0612168131
1.3277895900508319,2.42371972,-1.09497141,-0.863788621,0.0514992554,-0.0643912693,0.0609646513
1.3444563870511128,2.42745292,-1.11127716,-0.883390124,0.0514287064,-0.0637850014,0.0607060369
1.3611230006827746,2.40336126,-1.10266599,-0.874751402,0.0516160182,-0.0629853161,0.0609615506
1.3777898345988877,2.41890429,-1.08595845,-0.862796468,0.0518132624,-0.0638590119,0.060917716
1.3889009874022222,2.41557105,-1.11410975,-0.875851618,0.0515175172,-0.0642568156,0.0602825782
1.4055677795063821,2.40610063,-1.08266547,-0.883764875,0.0517131448,-0.0633841655,0.0610484936
1.4222346297152721,2.4113942,-1.08975273,-0.87576584,0.0517143503,-0.0639703313,0.060049838
1.4389013178386085,2.41506354,-1.11227341,-0.873966535,0.0514921361,-0.0640794634,0.0604045788
1.4555679067163794,2.42312921,-1.12148196,-0.873376752,0.0510506668,-0.0640806644,0.060888152
1.4722348238016678,2.44397998,-1.1045469,-0.883039045,0.0514436939,-0.0644116134,0.061157064
1.4889013874016626,2.41117998,-1.09244774,-0.88286062,0.0520346638,-0.0639161763,0.0613492713
1.5055682950641656,2.41882187,-1.11227567,-0.874243525,0.0511609086,-0.0638627108,0.0609772413
1.5222350282385984,2.42749164,-1.11378564,-0.864888472,0.0511094524,-0.0640428029,0.0615292172
1.5389153702013816,2.44314777,-1.11556514,-0.891988295,0.0508944899,-0.0645073471,0.0604194933
1.5555820947983334,2.43106351,-1.07649862,-0.881263195,0.0518589693,-0.0641690688,0.0607151244
1.5722488197161066,2.43242296,-1.1058243,-0.892437061,0.0514664765,-0.0645750512,0.060607449
1.5889155508583321,2.43496709,-1.08884548,-0.885951499,0.0513489739,-0.0642293476,0.060961957
1.6055822771124884,2.42369094,-1.08998741,-0.874767695,0.0520311338,-0.0641154298,0.0611334274
1.622249004889713,2.42672548,-1.09300216,-0.87694314,0.0515350757,-0.0643495262,0.0608621545
1.6389157579141547,2.42146493,-1.0807676,-0.880434416,0.0520944266,-0.0641569399,0.0611958708
1.6555824209786079,2.4111978,-1.09992765,-0.877941211,0.0517862694,-0.063400765,0.0610437946
1.6666936271922088,2.41384364,-1.1075227,-0.866911283,0.051716177,-0.0639856613,0.0609389825
1.6833603282297231,2.39953469,-1.08425588,-0.872917026,0.0519799425,-0.0637696942,0.0609355941
1.700027003825267,2.43942495,-1.10129082,-0.862492005,0.0513074181,-0.0643317029,0.0617380514
1.716693756003612,2.39289584,-1.10277558,-0.867470451,0.0511120234,-0.0633245625,0.0614687968
1.7333604246094345,2.4175444,-1.07976274,-0.873570083,0.0517314385,-0.0641463775,0.060938124
1.7500271525508206,2.41091957,-1.09722737,-0.866626913,0.0511574152,-0.0637898328,0.0611213808
1.7666938553324951,2.40634218,-1.09838867,-0.857604087,0.0517966446,-0.0641721741,0.0611597309
1.7833605161366641,2.40478823,-1.10162502,-0.867559737,0.0515701424,-0.0638557833,0.0611964507
1.8000272555885992,2.43185598,-1.10138837,-0.881325446,0.0517964437,-0.0643615089,0.0605471154
1.8166939892536094,2.42223007,-1.09662305,-0.880253652,0.0513959366,-0.0639035086,0.0606081569
1.8333606997308218,2.3969156,-1.07637251,-0.860718712,0.0522209847,-0.0639945616,0.0611821163
1.8500273768622235,2.43807923,-1.11583132,-0.868254222,0.0510085356,-0.0642412207,0.0609736246
1.8666941697205444,2.41274036,-1.07731162,-0.86809757,0.0520437924,-0.064109064,0.0614765189
1.883360838939439,2.4182109,-1.12251993,-0.861879134,0.0512483905,-0.0638261051,0.0604072092
1.900027560817495,2.43875816,-1.10401185,-0.885305091,0.0515806364,-0.0643401008,0.0612085841
1.9166942524408255,2.4356805,-1.11516533,-0.889242795,0.051034798,-0.0638771686,0.0608684837
1.933360933303597,2.44187395,-1.08390495,-0.885724412,0.0518964061,-0.0646802834,0.0607987293
1.9444721380180434,2.42327929,-1.07353312,-0.890640753,0.0518547726,-0.064080258,0.060736464
1.9611389068216603,2.40264128,-1.09568869,-0.875357259,0.0515815908,-0.0641510445,0.0605210677
1.9778056126160988,2.42176552,-1.1114458,-0.866745132,0.051113302,-0.0641080456,0.0610593393
1.9944723467622114,2.40744532,-1.08716943,-0.884431961,0.0520202106,-0.0637760463,0.0604339876
2.0111392030466555,2.42012871,-1.10616596,-0.873613703,0.0510980131,-0.0638340829,0.0609199125
2.0278058489208344,2.43554197,-1.0983037,-0.874183539,0.0515142521,-0.063976003,0.0608774068
2.0444726101530413,2.42317948,-1.09785113,-0.891936053,0.0514868206,-0.0645650367,0.0610152627
2.0611392497302665,2.43386761,-1.08698765,-0.857760081,0.0525480978,-0.0644914143,0.0614374519
2.077805964540554,2.43502905,-1.10155393,-0.889146715,0.0512660038,-0.0641429023,0.0602802127
2.094472685345827,2.41767664,-1.10262543,-0.860546789,0.0513048608,-0.0637706075,0.0614846018
2.1111395385016576,2.43340423,-1.10391511,-0.872190757,0.0514314144,-0.0646077022,0.0607990215
2.1278061150038816,2.41777806,-1.0957272,-0.877006999,0.0511714848,-0.0638426179,0.0608031223
2.1444728299047147,2.40415694,-1.11381216,-0.870850814,0.0508881104,-0.0634652131,0.0610307936
2.161139529423607,2.41624471,-1.08813609,-0.878550356,0.0518044854,-0.0638389372,0.0615460633
2.177806304827779,2.4107749,-1.07365536,-0.858054315,0.0524207725,-0.0643558372,0.0602442235
2.194472961732487,2.4180202,-1.07423206,-0.887265942,0.0519652655,-0.0641138771,0.0616073422
2.2111396593194352,2.41102683,-1.09194951,-0.873985167,0.0517912241,-0.0642366541,0.061046941
2.2222508039752653,2.4375444,-1.08549587,-0.851661764,0.0516259186,-0.0646193379,0.060768188
2.238917585396945,2.41410726,-1.07406109,-0.885058642,0.0520484137,-0.0642706249,0.0611729785
2.2555842235877774,2.42634467,-1.08316612,-0.862152252,0.0519632745,-0.064209588,0.0615206823
2.272250981921938,2.44113672,-1.095441,-0.884804594,0.0512306311,-0.0645037898,0.0614830628
2.2889176395538864,2.4077085,-1.0817108,-0.866970904,0.0514849209,-0.0641841476,0.0605783691
2.3055843438147146,2.43882567,-1.07779093,-0.869186461,0.051799686,-0.064213118,0.0612938239
2.322251201735554,2.40719485,-1.09661684,-0.863558319,0.0516550396,-0.0636625806,0.0608129313
2.3389177551633233,2.42710586,-1.09047768,-0.870613279,0.0516595469,-0.0644450727,0.0609385761
