sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
0,0.5403732809936628,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6403664359968388,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7404442599945469,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8404454609990353,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9403580959915416,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0403836030018283,0.0,0.0,0.0,0.0,0.0,0.0
