t_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,F_norm_N,T_norm_Nm
0.006257057189941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007701873779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009732961654663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011825084686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013676881790161133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0156710147857666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01769399642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019824981689453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.021686077117919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023674964904785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02568793296813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027710914611816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029694080352783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03179597854614258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03370189666748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0358278751373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037687063217163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03968000411987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041687965393066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043673038482666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04566693305969238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047616004943847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04964900016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05162501335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05383586883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05561685562133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05763602256774902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
