source,target,size_bytes,mtime,sha256
"/Users/andyl/Downloads/IMG_1188.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1188.HEIC",1644594,"2026-05-18T23:56:06+0800",5b1c8955ee14be300a649d742cdd7bd67efacb477ee660b38f2619bc8e3df46b
"/Users/andyl/Downloads/IMG_1189.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1189.HEIC",2411232,"2026-05-18T23:56:00+0800",5c211f80eb0a6958891af8c32891507a1b9d572aa7fdf252124dda03628dd4cc
"/Users/andyl/Downloads/IMG_1190.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1190.HEIC",705465,"2026-05-18T23:55:56+0800",0d3685a8c31cce6e7d0cdd72ad4e46ccb3984cd1c0e523a130414b1e389b6e85
"/Users/andyl/Downloads/IMG_1191.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1191.HEIC",668357,"2026-05-18T23:55:50+0800",a3f0cd34549f741994ad835398bc87757c8adff8b57c55868c5fdb3eb5f62cd9
"/Users/andyl/Downloads/IMG_1192.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1192.HEIC",2730544,"2026-05-18T23:55:44+0800",ec0c3c2051ad61962ab01d7114f9397efc2ae69dc754493c8f59ae9b195ee918
"/Users/andyl/Downloads/IMG_1193.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1193.HEIC",811043,"2026-05-18T23:55:39+0800",c69007ecd671de6a95e10acd4868a483d80d72eb83895eb69e7f6415bf9f1ef4
"/Users/andyl/Downloads/IMG_1194.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1194.HEIC",731837,"2026-05-18T23:55:33+0800",bdef99dc211a86d89921eadd53df011389e5d43bd118b2e8b5cb1d0848d97832
"/Users/andyl/Downloads/IMG_1195.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1195.HEIC",931776,"2026-05-18T23:55:27+0800",484361296f361c52b2fb618c6fc74c34e1a8aadc076018406f2da9117dac1820
"/Users/andyl/Downloads/IMG_1196.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1196.HEIC",801764,"2026-05-18T23:55:22+0800",443e798e190242e350885d34d0b0a9306bec406dc89d99ada2fe71ab1589c0d9
"/Users/andyl/Downloads/IMG_1197.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1197.HEIC",645889,"2026-05-18T23:55:18+0800",296ebd0c3749fedd0cab3f309cb810158b90606dc4e982f28221e8f78bf5a098
"/Users/andyl/Downloads/IMG_1198.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1198.HEIC",617663,"2026-05-18T23:55:12+0800",7930487e719d40ffbab268eab39c9660d62e2bf54b16f875c46c116759e5284f
"/Users/andyl/Downloads/IMG_1199.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1199.HEIC",653244,"2026-05-18T23:55:07+0800",6866f1584c1684d154cbf5c8898bd69e1a17031ac3d28f5940739b67e5020824
"/Users/andyl/Downloads/IMG_1200.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1200.HEIC",669237,"2026-05-18T23:55:01+0800",1b609c38c54c4a8389e23c0e778eb902591e8964713ffff763ab9276c0f9f216
"/Users/andyl/Downloads/IMG_1201.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1201.HEIC",595975,"2026-05-18T23:54:56+0800",2f1353814b93ffcaba196e23802cabf12d4bc8c5d1fc8424cc387457f754eeee
"/Users/andyl/Downloads/IMG_1202.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1202.HEIC",1344077,"2026-05-18T23:54:50+0800",e431752b4a42406d3730e02e5433b6197a4b56e5d9f1569a9b66609fe304112b
"/Users/andyl/Downloads/IMG_1203.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1203.HEIC",940872,"2026-05-18T23:54:45+0800",ae1529b598f7015d8c605207897f7e4fc8562839609032bfe9cb1d0f81b58a8b
"/Users/andyl/Downloads/IMG_1204.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1204.HEIC",1032497,"2026-05-18T23:54:39+0800",644acf548e7bba8b7d790337216a6f640206cc667bed8481dc1f9614b6853d42
"/Users/andyl/Downloads/IMG_1205.HEIC","/Users/andyl/Documents/UR10e/ft_sensor/onrobot/hex_e_v2_3010007655/photos_raw/IMG_1205.HEIC",997834,"2026-05-18T23:54:34+0800",b3d379953230b36b1f5f2e5ed9257b644eb427b7db4ca542b03d06d838886205
