row_index,write_index,contact_orientation_error_rad,outer_orientation_error_rad,orientation_error_abs_diff_rad,logged_step4e_orientation_error_rad,logged_bad_fixed_good,R_d_z_dot_R_cur_z,normal_load_n,force_error_n,outer_xdot_norm,orientation_consistent,xdot_norm_ok
0,11664,0.07277447789827557,0.07277447789827557,0.0,0.9998717,True,0.9973531061826865,6.0559736478921975,-1.0559736478921975,0.18189618949775263,True,True
1,11665,0.09597825214936014,0.09597825214936014,0.0,0.999871709,True,0.9953976222099079,6.050236514076918,-1.0502365140769179,0.23985380386068827,True,True
2,11666,0.1113128613407411,0.1113128613407411,0.0,0.999953816,False,0.9938111177172,7.5518987585422375,-2.5518987585422375,0.2781395503666565,True,True
3,11667,0.12130278383351367,0.12130278383351367,0.0,0.999953813,False,0.9926518342496703,7.545677187664977,-2.5456771876649773,0.3030731382578699,True,True
4,11668,0.12771985175042783,0.12771985175042783,0.0,0.999953808,False,0.9918549009203131,7.5412738696017785,-2.5412738696017785,0.3190858570135817,True,True
5,11669,0.1320137303192277,0.1320137303192277,0.0,0.999953818,False,0.991298835242322,7.538162985452479,-2.5381629854524794,0.3297993154976307,True,True
6,11670,0.13465731585845445,0.13465731585845445,0.0,0.999953814,False,0.9909473949868632,7.5361697513089645,-2.5361697513089645,0.33639484014214477,True,True
7,11671,0.13647076928491547,0.13647076928491547,0.0,0.999953812,False,0.9907023082404356,7.534779167969367,-2.5347791679693668,0.34091967550975516,True,True
8,11672,0.1376372442457919,0.1376372442457919,0.0,0.999953809,False,0.9905429382070249,7.533868974702584,-2.5338689747025844,0.34383038121021403,True,True
9,11673,0.13835071367545315,0.13835071367545315,0.0,0.99995381,False,0.990444795893538,7.533310018172018,-2.533310018172018,0.34561121809989565,True,True
10,11674,0.13894539036480458,0.13894539036480458,0.0,0.999953812,False,0.9903626090387889,7.532835335985398,-2.532835335985398,0.34709593768135255,True,True
11,11675,0.13917447733708763,0.13917447733708763,0.0,0.999953814,False,0.9903308547931698,7.532653643809741,-2.5326536438097413,0.3476685720428632,True,True
12,11676,0.13944405664436174,0.13944405664436174,0.0,0.999953806,False,0.9902934212515352,7.532440915427916,-2.532440915427916,0.3483422907667554,True,True
13,11677,0.13961342329134085,0.13961342329134085,0.0,0.999953808,False,0.9902698663395613,7.532303537336805,-2.532303537336805,0.34876607438638824,True,True
