t_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,F_norm_N,T_norm_Nm
0.00592803955078125,-0.8497930035801511,-1.5728350493516958,-9.047635435191928,0.12936894125873272,-0.0051252111238744465,-0.017774857393363853,9.222562833049366,0.13068487405520252
0.0073261260986328125,-0.534035204345211,-1.801478541058794,-9.224368965156016,0.13991229763841675,0.002549064004288233,-0.013881222567838561,9.41379314297424,0.14062232076643008
0.009171009063720703,-0.8469861530915495,-1.2299886507679674,-9.49781008086431,0.12240257301421563,-0.017617932595112174,-0.016181573302679556,9.614502272958,0.12471818128876117
0.011315107345581055,-1.0065828655942466,-1.6159309937270239,-9.229055193064685,0.12895928118573452,-0.010076350256276186,-0.016760262552044842,9.423369980979722,0.13043364381647082
0.013164043426513672,-0.1848603263830408,-1.3683013288920522,-9.10908485566276,0.13229039619998295,0.011149898818840976,-0.014068717990447555,9.213134579207168,0.13350280145492677
0.015217065811157227,-0.5162741948407412,-1.6551585473098853,-9.346848679789383,0.13316083871331674,-0.0071056016095596974,-0.0129262301846517,9.506296287401943,0.13397531850252992
0.017333984375,-0.7440546893263218,-1.1896011700012639,-9.284045791260114,0.11682679694431737,-0.002286207119874165,-0.015040228761986997,9.389476800045438,0.11781313894670928
0.019165992736816406,-0.7973007844566407,-1.5234111572952356,-9.049629651451752,0.12346936091483401,-0.005506600373888291,-0.015388502793839054,9.211529022019175,0.12454642407805709
0.021335124969482422,-0.31178557781697036,-1.4177733128780865,-9.520905277308024,0.12741247570513312,0.0002857099484450638,-0.009763364624933855,9.630936024744209,0.12778632119395716
0.02318096160888672,0.0014095789072869902,-1.504378445426494,-9.41512749125069,0.1269060022016358,0.009231515261529323,-0.005674032236181174,9.534557261377218,0.12736777029783738
0.02532196044921875,-0.8169028690274469,-1.331752358075848,-9.124219746410674,0.11818297466992707,-0.00017442374112018708,-0.016083310760420775,9.257012510602776,0.11927245621051978
0.027172088623046875,-0.1066053072926782,-1.5838983342051842,-9.576017048637889,0.127432054312742,0.004500111784731807,-0.01420173314442709,9.706709078799282,0.12829991697871915
0.02929210662841797,-0.9411406577948638,-1.7668981835494424,-9.500427387472769,0.13891364134127762,-0.004222264508750418,-0.01978690527630584,9.709057393662246,0.14037930363372111
0.031167984008789062,-0.7074314250454427,-1.3432782393682594,-9.203959903788952,0.1205937117257474,-0.001860753917015386,-0.018166529763589817,9.328329623252861,0.12196855544189965
0.033334970474243164,-0.14966958369525896,-1.170718737717781,-9.489028377630387,0.11722119575302298,0.0035920411909884306,-0.014803663566189885,9.562146354171839,0.118206852376109
0.035169124603271484,-0.46403357810493306,-1.8260377108616297,-9.505752820790562,0.1402018075402606,0.0073952141076271275,-0.01348080895481536,9.69066961427668,0.1410424341796828
0.03733396530151367,-0.37512412597009864,-1.4598427081126095,-9.210288036098133,0.12350096257603978,0.01306252113067462,-0.013842600612817493,9.332805824092066,0.1249589324827308
0.03916811943054199,-0.2916121823817278,-1.4015742032132383,-9.448115514312754,0.12172077163715075,0.005299150943557653,-0.014639348031344795,9.55595807252332,0.12271241892917298
0.04133415222167969,-0.7548851684256577,-1.8363856791258848,-9.333170118177579,0.13977858771139975,-0.01638189879421478,-0.009273411294016851,9.542024336316196,0.1410404776924886
0.043270111083984375,-0.7821279500810792,-1.8149602587999791,-9.079841578510697,0.14538215248951433,0.005606149234221083,-0.01518604569143498,9.292433909486414,0.14628060416700195
0.04535508155822754,-0.36484793794110637,-1.6835362194130727,-8.839766101600258,0.14451328974371658,0.002198315283755315,-0.0068493252792558475,9.006046466174631,0.14469221388664708
0.04732513427734375,-0.6465474274331318,-1.5552487762048628,-9.588407956239434,0.12742865063888234,-0.007816804800786,-0.02700535192382773,9.735213889128621,0.13049311274343064
0.0491640567779541,-0.6389907198004066,-1.4234335141430268,-9.144944861697994,0.12104129428947841,0.008493138641874357,-0.007547376137013428,9.277094837969113,0.1215733984628865
0.05131697654724121,-0.9250111885907397,-1.407276806295194,-9.079720144597982,0.12440135010864338,-0.007799470063597056,-0.019190438287360834,9.234575876171728,0.12611423616621248
