t_s,s_mm,tcp_z_mm,z_fit_mm,slope_deg,true_attitude_error_deg,bridge_proxy_error_deg,control_vs_surface_deg,normal_force_n
0.0,0.034002233359791835,7.8759803371977,7.892844897956946,13.586498829155676,7.064755533832086,2.656154839955127,9.030193860665845,-23.1946747
0.02399925293866545,0.09382826886554971,7.883203136500899,7.907298972661909,13.57845472297146,7.0607982513244645,11.510372256148532,15.156606584695716,-23.1946747
0.04799956898204982,0.014366465753791831,7.8521244868397995,7.88809892448635,13.589139039225508,7.073126645403052,11.541358787737458,15.307609472082406,-27.7362157
0.072000274900347,0.020296228100681626,7.843232822068299,7.889532251530081,13.588341727025945,7.077631590876081,11.51944962649679,15.315115519276489,-27.7362157
0.0959997489117086,0.0387951174184748,7.8415993983632,7.894003194685766,13.585854383065639,7.080800998969235,11.77670280636927,14.25211334574245,-27.1256288
0.11999980395194143,0.055240174571564105,7.8340052407091,7.897977039408593,13.58364320230208,7.0761481134530415,11.835337015291778,14.142927405289157,-27.1256288
0.1440002298913896,0.0849018260559936,7.867588132991399,7.905142892720334,13.579654951798139,7.073631804885161,11.674785532137635,14.322150503307851,-26.7833094
0.1680000339401886,0.1510860805677097,7.8908463320506,7.921124234932101,13.570756015161459,7.072994561104752,11.62330905576658,14.355397438754633,-26.7833094
0.1919994179625064,0.22428500691824396,7.9621933426145,7.938786723113774,13.560914028164065,7.07272821541876,11.6785880238408,14.231363404936245,-19.4507313
0.21600024495273829,0.35384131507807115,8.0450670615403,7.970015315916831,13.543494804592486,7.067892054874079,11.690672162106347,14.172542513444977,-19.4507313
0.2399996779859066,0.4723233280013871,8.1238846067906,7.99853804927686,13.527564907282791,7.065024574946679,11.506054503500206,14.434235880231633,-8.50937411
0.2639992209151387,0.6265693046278303,8.2291173003834,8.035618197314555,13.50682706110852,7.0654741922036415,11.409257008238521,14.64621919329266,-8.50937411
0.28799960494507104,0.7221141974951905,8.314208049290801,8.058557209874587,13.493981669547567,7.06793060107354,11.393652273505015,14.636696689556732,0.328687171
0.3119999599875882,0.8784164356000453,8.381152448614,8.096034382519703,13.472968336235146,7.065466529085016,11.382687923954274,14.617391160090543,0.328687171
0.3359996828949079,0.8688733642923188,8.3110060619195,8.093747942132305,13.474251292911696,7.069842242097837,11.353934896442325,14.618569715745004,0.328687171
0.3599993659881875,0.9508627603759146,8.305743418997599,8.113384550053647,13.463228832036174,7.07032961239451,11.337542803106752,14.608444772424408,-0.421487345
0.3839991199783981,1.027940993573409,8.2873077360529,8.131829717252765,13.45286677108032,7.071496004334619,11.317586282031888,14.598927614918498,-0.421487345
0.40799944393802434,1.1319643401959354,8.2974574510281,8.156699605697943,13.438882566102192,7.077559109609878,11.305232280644836,14.586085442308082,0.248928283
0.43199954798910767,1.1788074056318607,8.2622922184217,8.167890075577676,13.432585387050205,7.076030546626972,11.283603181174428,14.580303199146652,0.248928283
0.45600013295188546,1.285639534567765,8.2379313970208,8.193391141405591,13.418224004946067,7.079820727974276,11.207447980172597,15.006115899820621,-7.84766084
0.4800000760005787,1.3424306545336382,8.2127414741438,8.206935785950982,13.410589727116578,7.084343967628747,11.187364835425011,15.00565190640998,-7.84766084
0.5040002309251577,1.4576509567034577,8.202151902684,8.23439118093984,13.395101228779374,7.083684513871908,11.177680931954828,14.843177290910363,-23.6489394
0.5280001149512827,1.4896461598580721,8.174058088321798,8.242009353777114,13.390800332555198,7.08606978915975,11.157933139404731,14.83546716633167,-23.6489394
0.5519999179523438,1.6195800762120136,8.1938795310138,8.27292100718839,13.37333448185987,7.0894017525411686,11.13389801826523,15.068367855458025,-35.511112
0.5759992199018598,1.6966081139975844,8.163385234810999,8.291226441802914,13.362980504495292,7.089415730027536,11.111457553261134,15.06667882221291,-35.511112
0.6000004259403795,1.795296228124076,8.1989528252749,8.314657826249686,13.349715247451337,7.0943597457449314,11.137510803642426,14.57609450859082,-42.796186
0.6240003299899399,1.856518587074645,8.203664292258901,8.329181636933464,13.341486116655656,7.096355149008813,11.116852466564309,14.544211657534614,-42.796186
0.6479994219262153,1.9342890748133803,8.2317587225428,8.347617776110226,13.331032834179341,7.094685488865104,11.105220277407563,14.500403522219523,-44.382845
0.6720000869827345,1.9727795109461639,8.2428434369183,8.356736709521982,13.325859320263287,7.09658683689835,11.078138854262908,14.490802907286204,-44.382845
0.695999649935402,2.0135097401966737,8.3200642391758,8.366382284814165,13.320384798655482,7.102894917375096,11.235295218706224,14.066733916640882,-35.7172308
