unit,method,shared_mechanical_triple,slot_state,nominal_feasible,disturbed_guards_ok,pair_feasible,objective,dropped_because_infeasible,m,mu,g,nominal_force_mae_n,nominal_force_rmse_n,nominal_force_peak_n,nominal_force_error_peak_n,nominal_load_min_n,nominal_path_rms_m,nominal_path_peak_m,nominal_progress_ratio,nominal_actual_progress_m,nominal_reference_progress_m,nominal_attitude_rms_rad,nominal_attitude_peak_rad,nominal_low_load_duration_s,nominal_saturation_ticks,nominal_qp_intervention_ticks,disturbed_force_mae_n,disturbed_force_rmse_n,disturbed_force_peak_n,disturbed_force_error_peak_n,disturbed_load_min_n,disturbed_path_rms_m,disturbed_path_peak_m,disturbed_progress_ratio,disturbed_actual_progress_m,disturbed_reference_progress_m,disturbed_attitude_rms_rad,disturbed_attitude_peak_rad,disturbed_low_load_duration_s,disturbed_saturation_ticks,disturbed_qp_intervention_ticks
0,SFC,True,completed_feasible,True,True,True,77.45319425340233,False,4.0,393.0,0.052126826121414976,0.11188810693038811,0.2629057889373793,6.2229208470709985,1.2229208470709985,3.8430835002299393,0.005433278689033889,0.008198691423808593,0.8546370428890967,0.1624841657717423,0.1901206683277679,0.0446786495194316,0.08793386435676538,0.0,0,120,0.47674119664245423,0.9022303156021766,6.2229208470709985,3.575187860641054,1.4248121393589457,0.0070785307293931956,0.015526130891130373,0.8764786341118302,0.1666423723363796,0.19012713584883306,0.05534519349258227,0.10319676914783553,0.0,638,2466
0,DSFC,True,completed_feasible,True,True,True,85.82068102011505,False,4.0,393.0,0.052126826121414976,0.07527003873112191,0.17941693969963823,6.059742532074173,1.0597425320741731,4.203773374978011,0.005220403371608704,0.007966665608094461,0.8768818180569369,0.16671300059752964,0.19012026155012007,0.018199933302152072,0.03763670920722913,0.0,0,44,0.4467751729175687,0.8286849980442815,6.059742532074173,3.082480454956901,1.9175195450430993,0.006427730487016917,0.013722203528058087,0.8940443716520181,0.16998120582904386,0.1901261405124133,0.05203510081368613,0.1561816853670266,0.0,0,4154
0,MSFC,True,completed_feasible,True,True,True,85.27226534917935,False,4.0,393.0,0.052126826121414976,0.07679269940629867,0.18311564848357753,6.072974608708175,1.0729746087081748,4.185973499485057,0.005220504172400269,0.007970575594991352,0.8765636486096647,0.1666525145371374,0.19012026656759987,0.018493545633586288,0.03778703242139093,0.0,0,45,0.44796350936774537,0.8311337182978308,6.072974608708175,3.1005691499062857,1.8994308500937143,0.006423416401111193,0.013713094034080543,0.8939720435823436,0.16996743399005942,0.19012611771276688,0.05167642332969033,0.15549920576889487,0.0,275,4416
1,SFC,True,completed_feasible,True,True,True,65.64753470850643,False,4.0,310.66177089084647,0.0642,0.09718506912345974,0.22659824758374197,6.0233649423024405,1.0233649423024405,4.039837527928946,0.005473348594427759,0.008185211806418817,0.8524582232595659,0.1620700277320371,0.19012078634460922,0.04769489488022242,0.09379383427056559,0.0,0,92,0.46257607184423233,0.8979199807511815,6.0233649423024405,3.6796156326815384,1.3203843673184614,0.00703748535657297,0.016551485423445284,0.8689372551318754,0.1652086684987095,0.19012727043638655,0.05210949249485563,0.09830172653931436,0.0,1121,2234
1,DSFC,True,completed_feasible,True,True,True,84.90044295696934,False,4.0,310.66177089084647,0.0642,0.07148544211264947,0.1731847369265395,5.886298765527051,0.8862987655270507,4.271373160201399,0.0052188688454084834,0.00783436805810787,0.8750531086196801,0.1663653700641824,0.19012031204209906,0.020286003562893343,0.03696253797042048,0.0,0,82,0.44449565553265974,0.8304375423925799,5.886298765527051,3.0347786696567463,1.9652213303432535,0.006486968402664049,0.014604131686663404,0.886158806622667,0.16848202501108056,0.190126220889459,0.0522204128800451,0.15517010060269817,0.0,579,4994
1,MSFC,True,completed_feasible,True,True,True,84.88656231100076,False,4.0,310.66177089084647,0.0642,0.07201019950739586,0.17448100978826775,5.892614256409829,0.8926142564098294,4.266685478776627,0.005218855337696128,0.0078358209707393,0.8749717274120868,0.16634989900258412,0.1901203133666947,0.020364847148215764,0.03700039264087504,0.0,0,85,0.44483325346097535,0.8321772773242408,5.892614256409829,3.043460448424172,1.956539551575828,0.006496374309824224,0.01472868819907621,0.8864545025343473,0.16853825029186612,0.1901262273585618,0.05230645610018082,0.15522920778229704,0.0,644,4967
2,SFC,True,completed_nominal_infeasible,False,True,False,68.05116046307418,False,4.0,1228.1391393367705,0.08583341909109758,0.11313619255555807,0.2573780385392511,6.141665463311146,1.1416654633111456,3.9376595337646476,0.00553513037589012,0.008344490129661266,0.846943968381901,0.1610217567126245,0.19012090849440602,0.056395580436336426,0.11197244932275698,0.0,0,0,0.47188810800773945,0.883626309841789,6.141665463311146,3.5118676620474734,1.4881323379525266,0.007257580489414662,0.015773980365831726,0.8627352514887834,0.16402973817977118,0.19012754827939676,0.05803578476227215,0.11197244932275698,0.0,1052,1999
2,DSFC,True,completed_feasible,True,True,True,81.25466298766943,False,4.0,1228.1391393367705,0.08583341909109758,0.060147431805473835,0.1491752201534267,5.716996111008771,0.7786845689614967,4.221315431038503,0.005215761908083787,0.007463391041626721,0.8735073591739986,0.16607151849501003,0.19012034272046627,0.022554950936157583,0.04162173085607919,0.0,0,0,0.4312227285039504,0.8173568421627706,5.716996111008771,2.7363392533303528,2.2636607466696472,0.006356078416555873,0.013646222623353734,0.8827789513125344,0.16783937065716031,0.1901261583181307,0.05027800833540363,0.15130795443999878,0.0,367,5090
2,MSFC,True,completed_feasible,True,True,True,81.40724800742119,False,4.0,1228.1391393367705,0.08583341909109758,0.0608973258008069,0.15105017987453878,5.72553015436953,0.7877716187459054,4.212228381254095,0.005216500366643571,0.007465372489696361,0.873291810617147,0.16603054232176398,0.1901203472919685,0.02279958835882959,0.042193395997735056,0.0,0,0,0.4319520237826762,0.818009041664127,5.72553015436953,2.7469816968455247,2.2530183031544753,0.006360166951222105,0.013738355900838176,0.8826840215047375,0.1678213142349037,0.19012614950117004,0.050550336006106325,0.1518700395818797,0.0,469,5109
3,SFC,True,completed_nominal_and_disturbed_guard_infeasible,False,False,False,96.74920450279919,False,13.20374583825469,43.19426238094313,0.15615429806676784,0.13533841233280755,0.3164160487371918,6.474312841876694,1.474312841876694,3.593814506865799,0.005496731049800218,0.008334052091989008,0.8512108062179564,0.161832842312538,0.19012075637477277,0.04948083661953684,0.09760022749941707,0.0,0,204,0.5253914227694985,1.080064343023995,6.474312841876694,4.438408189313924,0.5615918106860763,0.007771413260053093,0.024065872018269305,0.8613213903985367,0.16376147959394582,0.19012819305250594,0.06596276486926417,0.13142577562342708,0.61,3123,1051
3,DSFC,True,completed_nominal_infeasible,False,True,False,86.1717741761951,False,13.20374583825469,43.19426238094313,0.15615429806676784,0.12566956951139982,0.29561145411550577,6.4436914822985285,1.4436914822985285,3.729344866796209,0.005466874657774124,0.008265217452374823,0.8521951516701318,0.16201997114819325,0.19012073799137036,0.047078831197096965,0.092721114012592,0.0,0,155,0.5029218822548621,1.0056818592607744,6.4436914822985285,3.911522442461579,1.0884775575384211,0.007699578598865492,0.02385292299330947,0.8652395252622735,0.16450601327888853,0.1901277143216765,0.06350511149539273,0.12741556003836874,0.0,2113,1023
3,MSFC,True,completed_nominal_infeasible,False,True,False,86.96295787430293,False,13.20374583825469,43.19426238094313,0.15615429806676784,0.12570481399611355,0.29565765028214963,6.443780650133773,1.4437806501337729,3.7291293931564495,0.005466543734404649,0.008265271968469374,0.8521961592415797,0.16202016355735444,0.19012073898754234,0.047090493102011216,0.0927270120248978,0.0,0,155,0.5030685184835889,1.0052006658580412,6.443780650133773,3.9111683718270367,1.088831628172963,0.007712635816162791,0.023903845159073206,0.8650614940646373,0.16447216111455454,0.19012771027612657,0.06403766714823364,0.12917630645775044,0.0,2134,1023
4,SFC,True,completed_nominal_infeasible,False,True,False,102.25201513844289,False,5.318628389388323,729.0097584978811,0.02835595401982533,0.2510874628727247,0.4583342781172829,6.806078222377252,2.1335169977224138,2.8664830022775862,0.005406090887044303,0.009000922133060488,0.8711694349034743,0.16562695435614455,0.1901202541323044,0.027011459014932057,0.05709503662226519,0.0,0,532,0.5898314199070228,0.9647094018941155,6.806078222377252,3.3738806841186855,1.6261193158813145,0.006627346247498779,0.011436773686033044,0.8889715041611989,0.16901759613598322,0.1901271248232665,0.05564870860905356,0.11705202695154275,0.0,0,1895
4,DSFC,True,completed_nominal_infeasible,False,True,False,93.0239462190647,False,5.318628389388323,729.0097584978811,0.02835595401982533,0.12676009552772685,0.29693742280048174,6.539447662192978,2.0425134563612852,2.9574865436387148,0.0052370192313916245,0.00774215444637218,0.8713493986554545,0.1656611017831724,0.19012017686452487,0.016251369892740314,0.03830240126526501,0.0,0,248,0.49366570638214696,0.8528618800790148,6.539447662192978,3.0960416147650296,1.9039583852349702,0.006567236734163667,0.01207788903084342,0.8894295931410348,0.16910477976046095,0.1901272243070581,0.04835479344825716,0.11315415927489561,0.0,0,248
4,MSFC,True,completed_nominal_infeasible,False,True,False,93.93568727851668,False,5.318628389388323,729.0097584978811,0.02835595401982533,0.13706222177104851,0.3213564106524708,6.695593668382103,2.1465701203192786,2.8534298796807214,0.005255004721686169,0.007976280437204336,0.8702139222856352,0.1654452706074158,0.19012022948664198,0.017578559186705492,0.04189422282375029,0.0,0,306,0.5032639187764293,0.8629843488271466,6.695593668382103,3.167722968918736,1.8322770310812644,0.0064666753485446895,0.012063526764098017,0.8890783528191102,0.16903786450793876,0.19012707257121894,0.04859030957835234,0.10872018073688634,0.0,0,1609
5,SFC,True,completed_nominal_infeasible,False,True,False,66.88780105191351,False,7.644104387611151,249.36420361772792,0.07711120568140055,0.17278002991441335,0.39794157232309163,6.806009276316506,1.806009276316506,3.2625592625693334,0.005496828782913424,0.008704570103929499,0.8566540320504021,0.16286759152383684,0.19012061512628747,0.04152273098421946,0.09478212664389984,0.0,0,217,0.551787781715138,1.0268533441463292,6.806009276316506,3.840663798996218,1.1593362010037824,0.0070834996679398415,0.018822842725184155,0.8766104265779981,0.1666675138499673,0.19012723188860878,0.049065171511186736,0.09478212664389984,0.0,1229,1319
5,DSFC,True,completed_nominal_infeasible,False,True,False,85.54206567791805,False,7.644104387611151,249.36420361772792,0.07711120568140055,0.14686579325623492,0.3467189094420534,6.6931823557521435,1.7066331473404213,3.2933668526595787,0.005440926261733109,0.008579338885784679,0.8553672203843645,0.16262300798321758,0.1901206921515439,0.04316160133526774,0.08443363306140265,0.0,0,151,0.5171496453564689,0.9225652691277837,6.6931823557521435,3.406240654147852,1.5937593458521484,0.007215944820889832,0.01776733511797493,0.877228027502501,0.16678465272879414,0.190126908283626,0.06134995366854207,0.13501895423260754,0.0,1173,3732
5,MSFC,True,completed_nominal_infeasible,False,True,False,85.33125380744583,False,7.644104387611151,249.36420361772792,0.07711120568140055,0.1471244146999262,0.34730397295499144,6.698040666857737,1.70928224665162,3.29071775334838,0.005442017256649604,0.008583560926880797,0.8552979377749519,0.16260983798593445,0.19012069456049682,0.04325882336209715,0.08463257035943075,0.0,0,156,0.5171845972890059,0.9332753369209742,6.698040666857737,3.503098827474676,1.4969011725253238,0.007284013937111276,0.018017347382166284,0.8771502396064944,0.1667700053681658,0.1901270704126831,0.060731414603409355,0.12439366282879594,0.0,1061,3298
6,SFC,True,completed_nominal_infeasible,False,True,False,152.5412884705478,False,11.020339835435152,983.5695741547144,0.009344731645416986,0.567434078186193,0.6792996809276028,7.003982717280114,2.003982717280114,3.368063700660376,0.004905641262154749,0.007205975488784673,0.8254738748957029,0.15693982218370997,0.19012088323635806,0.012245589409508744,0.02850751564329622,0.0,0,393,0.8191229419121964,1.074760557847125,7.003982717280114,3.2648442716724424,1.7351557283275576,0.004987485724803178,0.009692188680816139,0.8600355995555831,0.16351249048688202,0.19012293278484735,0.01806132688825693,0.039953011821517656,0.0,0,393
6,DSFC,True,completed_nominal_infeasible,False,True,False,97.66390265094928,False,11.020339835435152,983.5695741547144,0.009344731645416986,0.13545838360257198,0.3217956004500729,6.9758156849792545,1.9758156849792545,3.7318302875163982,0.004506212869752748,0.006512910583641503,0.8334828145679664,0.1584629454815726,0.1901214310743905,0.012009155407511372,0.024660802538610884,0.0,0,0,0.49647850095773305,0.880836375934805,6.9758156849792545,3.183806704166355,1.816193295833645,0.00482238782560032,0.009608753528922584,0.8756191765149465,0.16647554513193644,0.19012322890703018,0.01683066856243482,0.03592735732004464,0.0,0,0
6,MSFC,True,completed_nominal_infeasible,False,True,False,94.8174162685535,False,11.020339835435152,983.5695741547144,0.009344731645416986,0.1663765549361389,0.3770169303927379,7.070464840932684,2.070464840932684,3.555319649384367,0.004575522753718935,0.006524391644030795,0.8316914138153187,0.15812248966692038,0.1901215848093777,0.012743064843863955,0.024908158002610446,0.0,0,180,0.5264744117221984,0.9041861941399436,7.070464840932684,3.289384917639395,1.7106150823606052,0.00492934964330821,0.009802333079356528,0.8706124411154301,0.16552413418107292,0.1901237868471109,0.01810594548281981,0.03808845821095322,0.0,0,180
7,SFC,True,completed_nominal_and_disturbed_guard_infeasible,False,False,False,180.91020527211674,False,12.060580734163523,186.1273012706193,0.01340957019628624,1.3298762256712655,1.5057154988485926,7.7776761756778985,2.7915276363598474,2.2084723636401526,0.006235586343771092,0.011045338041741092,0.8530010771413349,0.16217180857654262,0.19011911347173147,0.04526006403261628,0.09111235468454507,0.0,0,3796,1.2324837963571416,1.5331184753108797,7.7776761756778985,3.903942999409688,1.096057000590312,0.006931987232828644,0.013062933037845639,0.828133655838419,0.1574503108342992,0.19012668996635979,0.05023999760209604,0.0944314475436326,0.0,0,3310
7,DSFC,True,completed_nominal_and_disturbed_guard_infeasible,False,False,False,171.21693169131214,False,12.060580734163523,186.1273012706193,0.01340957019628624,0.7852395897427239,0.9594907939446768,7.513459612475573,2.5134596124755726,2.621487601779658,0.005878883958107587,0.010106540729844456,0.855667864740343,0.1626787585716818,0.19011904650766281,0.028409869706908508,0.05664829971752819,0.0,0,2099,0.7693876430599966,1.1462323937328693,7.513459612475573,3.312666625218795,1.6873333747812047,0.006989239070708478,0.012991536426217004,0.8179082473788628,0.1555071172830605,0.19012782641746384,0.05072542181538209,0.08184931541149583,0.0,0,2099
7,MSFC,True,completed_nominal_and_disturbed_guard_infeasible,False,False,False,173.52830815034625,False,12.060580734163523,186.1273012706193,0.01340957019628624,0.8715908827603798,1.0601415522340343,7.5815001028182785,2.59646275146995,2.40353724853005,0.005944996417209174,0.010486477965524488,0.8527148179754833,0.1621174159995307,0.19011914954689083,0.03055368183448462,0.05470467990144813,0.0,0,2303,0.8264103253355044,1.2234065724894414,7.5815001028182785,3.514227677238507,1.4857723227614932,0.007023881802634192,0.012995211131604609,0.8120447821907739,0.15439242130939074,0.1901279642396856,0.051809490683707805,0.08194471190876675,0.0,0,2647
