method,unit,scheduled_phase,literal_repeat,slot_state,budget_consumed,shared_initial_triple,coefficient_matched_pair,nominal_status,disturbed_status,nominal_feasible,disturbed_guards_ok,pair_feasible,objective,J,Jload,Jpath,Jatt,recovery_s,residual_displacement_m,postrelease_max_offset_m,m,mu,g
DSFC,9,bayesian_ei,False,completed_nominal_infeasible,True,False,False,complete,complete,False,True,False,492.62095554593424,492.62095554593424,153.1627552966821,163.4313232360129,176.02687701323924,,0.01986626711297256,0.020154100103580215,5.139566652476788,1226.9916466942548,0.16728819660975902
DSFC,10,bayesian_ei,False,completed_nominal_infeasible,True,False,False,complete,complete,False,True,False,80.12036898900607,80.12036898900607,46.3087915261665,8.276868223647934,25.534709239191628,3.0459999999999994,1.4950884144749868e-05,0.0032840300245449727,6.6197215244174,1100.0452562751716,0.15795104746396607
DSFC,11,bayesian_ei,False,completed_nominal_infeasible,True,False,False,complete,complete,False,True,False,80.24937074028855,80.24937074028855,46.36965546663663,10.02437538069993,23.855339892952003,3.5260000000000034,1.5383308460281445e-05,0.0037794322879509813,7.784997139126062,1023.9408329016995,0.19405034218734854
DSFC,12,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,564.8624749183757,564.8624749183757,177.369793199854,188.5079527028483,198.98472901567337,,0.024915111333268097,0.025177839968565378,6.028121277689934,575.7828492740656,0.19946395551236445
DSFC,13,bayesian_ei,False,completed_feasible,True,False,False,complete,complete,True,True,True,82.09925660763554,82.09925660763554,46.15594024582092,9.846481367141815,26.096834994672808,3.503999999999998,1.3777152595122819e-05,0.003821264475437518,9.334051802754402,1496.5412437476004,0.17347676774410595
DSFC,14,bayesian_ei,False,completed_nominal_infeasible,True,False,False,complete,complete,False,True,False,81.67817669553123,81.67817669553123,46.51623167804819,8.290525241896129,26.871419775586915,2.966000000000001,2.422223714989351e-05,0.0031293049008541828,5.058902736753225,1633.9529127884553,0.1342754677665016
DSFC,15,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,393.1074442747016,393.1074442747016,241.02661525055595,69.03095901744187,83.04987000670374,,0.008303214556349964,0.008877287593250127,4.1874965243041515,41.101179996736576,0.18107283278720018
DSFC,16,bayesian_ei,False,incomplete_running_or_pending,True,False,False,complete,running,False,,,,,,,,,,,4.230093881487846,830.3760070910777,0.1332833383787024
DSFC,17,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,18,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,19,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,20,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,21,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,22,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
DSFC,23,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,0,initial,False,completed_feasible,True,True,True,complete,complete,True,True,True,85.27226534917935,85.27226534917935,46.75959645127463,9.804506152287935,28.708162745616775,3.9440000000000026,1.3546760075928136e-05,0.003763298862408872,4.0,393.0,0.052126826121414976
MSFC,1,initial,False,completed_feasible,True,True,True,complete,complete,True,True,True,84.88656231100076,84.88656231100076,46.9653462014661,8.849622245253567,29.071593864281102,3.456000000000003,2.2043900086905666e-05,0.003492157190536696,4.0,310.66177089084647,0.0642
MSFC,2,initial,False,completed_feasible,True,True,True,complete,complete,True,True,True,81.40724800742119,81.40724800742119,46.73268644859276,7.527518959665667,27.147042599162763,2.9939999999999998,2.0814465270780905e-05,0.0028832558101187663,4.0,1228.1391393367705,0.08583341909109758
MSFC,3,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,86.96295787430293,86.96295787430293,47.639610442884845,11.397317731681145,27.926029699736937,3.7959999999999994,3.556865750116416e-05,0.004210115420307405,13.20374583825469,43.19426238094313,0.15615429806676784
MSFC,4,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,93.93568727851668,93.93568727851668,46.43160781522935,18.85810124849166,28.645978214795672,7.597999999999999,2.0896928166352595e-05,0.00662551395811568,5.318628389388323,729.0097584978811,0.02835595401982533
MSFC,5,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,85.33125380744583,85.33125380744583,46.655460964725734,10.942648449849488,27.733144392870617,4.288000000000004,1.2664064421055156e-05,0.0043898370071403575,7.644104387611151,249.36420361772792,0.07711120568140055
MSFC,6,initial,False,completed_nominal_infeasible,True,True,True,complete,complete,False,True,False,94.8174162685535,94.8174162685535,46.50937143756883,41.56836815870152,6.739676672283147,11.114000000000004,2.4950092437915127e-05,0.01215911604234913,11.020339835435152,983.5695741547144,0.009344731645416986
MSFC,7,initial,False,completed_nominal_and_disturbed_guard_infeasible,True,True,True,complete,complete,False,False,False,173.52830815034625,173.52830815034625,86.26114430651327,61.1097255708658,26.157438272967177,,0.0010297973899228742,0.01164675615066063,12.060580734163523,186.1273012706193,0.01340957019628624
MSFC,8,bayesian_ei,False,completed_feasible,True,False,False,complete,complete,True,True,True,80.63685412807027,80.63685412807027,46.38052980031234,7.764602904886662,26.49172142287127,2.926000000000002,2.126129193298501e-05,0.0029627083205505,4.73858780413866,2113.87351171066,0.11955633179496716
MSFC,9,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,491.9802166167749,491.9802166167749,151.26946976071446,164.16759398629506,176.54315286976535,,0.020585450412527708,0.020586939854489415,5.139566652476788,1226.9916466942548,0.16728819660975902
MSFC,10,bayesian_ei,False,completed_feasible,True,False,False,complete,complete,True,True,True,85.06916529045233,85.06916529045233,46.97586110214202,9.084798935410127,29.00850525290018,3.386000000000003,2.4336673317239676e-05,0.003557610171862275,8.42523105442524,2456.023594750252,0.14597498571347542
MSFC,11,bayesian_ei,False,completed_feasible,True,False,False,complete,complete,True,True,True,86.76344643939082,86.76344643939082,46.24745735036643,13.46897971467168,27.047009374352715,5.486000000000004,2.262889500040037e-05,0.005378513617195421,4.798821356147528,2245.871936123588,0.050549239742462365
MSFC,12,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,475.5308126517949,475.5308126517949,146.72719921799543,157.57159147933544,171.232021954464,,0.018733947141621396,0.019065930710368915,4.230093881487846,830.3760070910777,0.1332833383787024
MSFC,13,bayesian_ei,False,completed_nominal_infeasible,True,False,False,complete,complete,False,True,False,81.78408322324438,81.78408322324438,46.51220856632911,8.325957237413744,26.94591741950153,2.9720000000000013,2.4256235915731164e-05,0.0031430491267270674,5.058902736753225,1633.9529127884553,0.1342754677665016
MSFC,14,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,371.4293579035631,371.4293579035631,204.60568084269923,72.49853838770233,94.32513867316153,,0.008697743354526593,0.008697743354526593,6.028121277689934,575.7828492740656,0.19946395551236445
MSFC,15,bayesian_ei,False,completed_nominal_and_disturbed_guard_infeasible,True,False,False,complete,complete,False,False,False,343.01991180581956,343.01991180581956,199.05220812570093,58.7148946007905,85.25280907932812,,0.006576616390295372,0.006879556902226246,4.477555099874735,394.0723620820302,0.16846237275912399
MSFC,16,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,17,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,18,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,19,bayesian_ei,False,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,20,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,21,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,22,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
MSFC,23,repeat_incumbent,True,not_run,False,False,False,,,,,,,,,,,,,,,,
