ur-20225200364
Tue May 26 14:56:16 CEST 2026
f	-rw-r--r--	root	root	139640	2025-01-10 09:31:51.0000000000	/programs/FaiChun_9 Jan_9.script
f	-rw-r--r--	root	root	1412	2026-01-09 10:53:10.0000000000	/programs/mpc.old0
f	-rw-r--r--	root	root	1412	2026-01-09 10:53:10.0000000000	/programs/mpc.urp
f	-rw-r--r--	root	root	1415059	2025-01-08 14:33:10.0000000000	/programs/2025faichun/withboxall.script
f	-rw-r--r--	root	root	1424	2023-10-18 02:49:52.0000000000	/programs/set_b_draw_borders.bak.urp
f	-rw-r--r--	root	root	1425110	2023-10-13 09:58:44.0000000000	/programs/azat-test-new.script
f	-rw-r--r--	root	root	14291	2023-10-17 06:55:21.0000000000	/programs/marco_robot_test.urp
f	-rw-r--r--	root	root	1430	2023-10-17 05:34:58.0000000000	/programs/set_b_draw_borders.old0
f	-rw-r--r--	root	root	14310	2023-10-17 06:11:33.0000000000	/programs/marco_robot_test.old1
f	-rw-r--r--	root	root	14324	2023-10-17 06:55:21.0000000000	/programs/marco_robot_test.old0
f	-rw-r--r--	root	root	1433	2023-10-17 05:34:58.0000000000	/programs/set_b_draw_borders.urp
f	-rw-r--r--	root	root	145	2025-01-08 14:33:10.0000000000	/programs/2025faichun/withboxall.txt
f	-rw-r--r--	root	root	14663	2024-08-15 11:14:55.0000000000	/programs/dragon_new/1_dragon.urp
f	-rw-r--r--	root	root	1510	2024-01-24 09:44:47.0000000000	/programs/_marco/URMagic_VNC_Installation_V1/ReadMe.txt
f	-rw-r--r--	root	root	151515	2025-01-09 08:54:58.0000000000	/programs/FaiChun_9 Jan_2.script
f	-rw-r--r--	root	root	151515	2025-01-09 09:10:13.0000000000	/programs/FaiChun_9 Jan_3.script
f	-rw-r--r--	root	root	151532	2025-01-09 08:18:33.0000000000	/programs/FaiChun_9 Jan_1.bak0
f	-rw-r--r--	root	root	151534	2025-01-09 08:25:15.0000000000	/programs/FaiChun_9 Jan_1.script
f	-rw-r--r--	root	root	151696	2025-01-14 02:35:41.0000000000	/programs/FaiChun_9 Jan_8_2.script
f	-rw-r--r--	root	root	151711	2025-01-10 06:44:10.0000000000	/programs/FaiChun_9 Jan_7.bak0
f	-rw-r--r--	root	root	151712	2025-01-10 06:44:10.0000000000	/programs/FaiChun_9 Jan_7.script
f	-rw-r--r--	root	root	151733	2025-01-10 03:24:19.0000000000	/programs/FaiChun_9 Jan_6.script
f	-rw-r--r--	root	root	151733	2025-01-10 07:03:27.0000000000	/programs/FaiChun_9 Jan_8.bak1
f	-rw-r--r--	root	root	151733	2025-01-10 09:16:05.0000000000	/programs/FaiChun_9 Jan_8.bak0
f	-rw-r--r--	root	root	151733	2025-01-10 09:16:28.0000000000	/programs/FaiChun_9 Jan_8.script
f	-rw-r--r--	root	root	151733	2025-01-14 06:06:27.0000000000	/programs/FaiChun_9 Jan_11_1.bak0
f	-rw-r--r--	root	root	151734	2025-01-14 02:27:13.0000000000	/programs/FaiChun_9 Jan_8_1.bak0
