sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
0,0.0017116880044341087,0.21184914016982148,-0.45709880778661993,-3.2318056328051044,-0.0003096615623882336,0.02990594486398685,-0.0018098653617136954,0.041581999999999945,0.09867200000133282,-0.08333999999842201,0.0013669999999999995,0.004652000000011466,-0.0007169999999256035
1,0.0036684150036307983,-0.46957412377148366,-0.42223439431468046,-2.775053008314866,0.0055946322483038935,0.007728552905995347,-0.01079566964302715,0.06158199999999991,0.07867200000229237,-0.14333899999874186,-0.002632999999999999,0.0006519999999794816,0.0012830000000104288
2,0.005635330999211874,0.09332974470052764,-0.7540169435892498,-2.930692080778889,0.009357601022511663,0.024553324052674224,-0.0066306781373004576,0.06158199999999991,0.07867200000229237,-0.14333899999874186,-0.002632999999999999,0.0006519999999794816,0.0012830000000104288
3,0.007644625999091659,-0.22383692237842293,-1.0379879756497907,-2.1453331100633366,0.059177718954548,-0.019785176114285687,0.01479121692921425,0.06158199999999991,0.07867200000229237,-0.14333899999874186,-0.002632999999999999,0.0006519999999794816,0.0012830000000104288
4,0.009631369000999257,0.09828978005677598,-0.7845045444965213,-2.3069125991259183,0.03469162446314815,0.013521427958475496,-0.006160482219961903,0.06158199999999991,0.07867200000229237,-0.14333899999874186,-0.002632999999999999,0.0006519999999794816,0.0012830000000104288
5,0.01163842999812914,0.27986776416607706,-0.8294154072108081,-2.2305011954527925,0.04000881651655353,0.006435779532989262,0.004799619555801356,0.11158199999999978,0.08867200000549089,-0.34333999999858195,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
6,0.013628870001411997,-0.06994882304099062,-0.8955175148017723,-2.244208551370899,0.05026147545454744,-0.010124340335742112,-0.00580525920832433,0.11158199999999978,0.08867200000549089,-0.34333999999858195,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
7,0.01562962900061393,-0.1294870742511407,-0.8985893647919228,-2.0763180335203555,0.052926047281062524,-0.009667102795571095,0.012146173980781473,0.11158199999999978,0.08867200000549089,-0.34333999999858195,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
8,0.017623063999053556,0.0043477109998915344,-0.8378150970056722,-2.2278012051755556,0.023737646131161746,0.019674667748435907,-0.003959886213764815,0.11158199999999978,0.08867200000549089,-0.34333999999858195,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
9,0.019687893000082113,-0.05012026388721464,-0.6137165880643078,-2.752274235147895,0.016066732085627717,0.021752143563493653,-0.0004976053572319304,0.13158199999999973,0.06867200000709013,-0.44333999999890183,-0.004632999999999998,-0.00034800000003651105,0.0022829999999944375
10,0.02162734699959401,-0.4584008689660247,-0.550792248952717,-2.004696630329991,0.03999686447283781,-0.01576025094165676,0.0009687853690398455,0.13158199999999973,0.06867200000709013,-0.44333999999890183,-0.004632999999999998,-0.00034800000003651105,0.0022829999999944375
11,0.023634037002921104,0.107537061451393,-0.9636869432180047,-2.2253694845764067,0.048901627788561046,-0.006724397827096623,0.012577893989012186,0.13158199999999973,0.06867200000709013,-0.44333999999890183,-0.004632999999999998,-0.00034800000003651105,0.0022829999999944375
12,0.02562313499947777,-0.10474817580834578,-0.7798520898050937,-2.064636936835699,0.041585660628807905,-0.007995470972294489,-0.00569651533486736,0.13158199999999973,0.06867200000709013,-0.44333999999890183,-0.004632999999999998,-0.00034800000003651105,0.0022829999999944375
13,0.027640956002869643,0.050660514661653326,-0.8738215956868226,-1.9664166091511908,0.05076165884815706,-0.0012695539699340691,0.0017721081377785831,0.1415819999999998,0.08867200000549089,-0.343339999998582,-0.008632999999999997,-0.003348000000068496,0.0042829999999464624
14,0.029621788002259564,0.49379434926901955,-0.7045572729244461,-2.1560062813437164,0.023097960039141434,0.028750516307497715,-0.007800917076691151,0.1415819999999998,0.08867200000549089,-0.343339999998582,-0.008632999999999997,-0.003348000000068496,0.0042829999999464624
15,0.031628037002519704,-0.15290077385355685,-1.0214915878779194,-1.8230834828784375,0.046442058155598265,-0.01077846102728235,0.0024847172405555386,0.1415819999999998,0.08867200000549089,-0.343339999998582,-0.008632999999999997,-0.003348000000068496,0.0042829999999464624
16,0.03363093000371009,0.03805973606929836,-0.6585655047792797,-2.1421065020945282,0.03803283843736622,-0.004414290084035355,0.0024584735883884483,0.1415819999999998,0.08867200000549089,-0.343339999998582,-0.008632999999999997,-0.003348000000068496,0.0042829999999464624
17,0.03563604800001485,0.17426306084123186,-1.0558438650458224,-2.304633307409629,0.04863454818157631,-0.006011981546926477,0.0012890818800009637,0.19158199999999975,0.0986720000064504,-0.4033389999984221,-0.009632999999999996,-0.005348000000068497,0.0042829999999144785
18,0.037621016999764834,-0.29765210258579317,-0.7533806464701465,-2.062237184042428,0.05473717908239192,-0.013355377559727839,0.012553317824753094,0.19158199999999975,0.0986720000064504,-0.4033389999984221,-0.009632999999999996,-0.005348000000068497,0.0042829999999144785
19,0.03962719599803677,-0.2988549606310233,-0.9367271170459186,-1.9617928801546127,0.04151514136349814,-0.02279656029194272,0.0038513106664663493,0.19158199999999975,0.0986720000064504,-0.4033389999984221,-0.009632999999999996,-0.005348000000068497,0.0042829999999144785
20,0.041621273005148396,0.9685345747743389,-0.8069146799055642,-2.428194619102456,0.015031712064031168,0.045562227113142104,-0.0057035861481197015,0.19158199999999975,0.0986720000064504,-0.4033389999984221,-0.009632999999999996,-0.005348000000068497,0.0042829999999144785
21,0.04362912500073435,-0.15501937224782028,-1.0670153915230096,-1.8407816512452007,0.05194739364964489,-0.016500284324136676,0.010120580787702503,0.17158199999999987,0.09867200000373168,-0.2333389999984221,-0.007632999999999997,-0.006348000000068497,0.004282999999898484
22,0.04561719100456685,0.33956193606746804,-0.6055467936468042,-2.1299199897781076,0.03969172005081062,-0.007624222514392711,-0.011663572581997999,0.17158199999999987,0.09867200000373168,-0.2333389999984221,-0.007632999999999997,-0.006348000000068497,0.004282999999898484
23,0.04761798999970779,-0.37408491601466315,-0.6302927087905588,-2.078311038564384,0.03604390757308376,-0.014786784258215816,0.004034768698882553,0.17158199999999987,0.09867200000373168,-0.2333389999984221,-0.007632999999999997,-0.006348000000068497,0.004282999999898484
24,0.04961628399905749,-0.3881551166659213,-0.9547966472735345,-1.920129887749759,0.04991611519347272,-0.021469648988722508,0.006603546886906581,0.17158199999999987,0.09867200000373168,-0.2333389999984221,-0.007632999999999997,-0.006348000000068497,0.004282999999898484
25,0.051626641004986595,-0.22807097446109056,-0.8569579144655607,-2.541285071535455,0.023988033221629127,0.011076233874013412,0.00227906177953667,0.16158199999999973,0.10867200000693021,-0.43333999999826217,-0.007632999999999998,-0.0053480000000525035,0.0032829999999144767
26,0.05363130700425245,-0.30136144233196355,-0.7921339588394032,-2.014044616314758,0.042693527613409485,-0.015602196151632533,0.008139110339734787,0.16158199999999973,0.10867200000693021,-0.43333999999826217,-0.007632999999999998,-0.0053480000000525035,0.0032829999999144767
27,0.05562939200171968,0.13379084692033455,-0.7246095893902287,-2.020516258790051,0.03646505529819013,-0.006815401462054779,-0.0003256680307496254,0.16158199999999973,0.10867200000693021,-0.43333999999826217,-0.007632999999999998,-0.0053480000000525035,0.0032829999999144767
