t_s,actual_tcp_pose_0,actual_tcp_pose_1,actual_tcp_pose_2,actual_tcp_pose_3,actual_tcp_pose_4,actual_tcp_pose_5,target_tcp_pose_0,target_tcp_pose_1,target_tcp_pose_2,target_tcp_pose_3,target_tcp_pose_4,target_tcp_pose_5,actual_tcp_speed_0,actual_tcp_speed_1,actual_tcp_speed_2,actual_tcp_speed_3,actual_tcp_speed_4,actual_tcp_speed_5,actual_tcp_force_0,actual_tcp_force_1,actual_tcp_force_2,actual_tcp_force_3,actual_tcp_force_4,actual_tcp_force_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,runtime_state,robot_mode,safety_mode,speed_scaling
0.61156330599988,0.44393385711603267,0.1208095332545247,0.24367882741554414,3.1225874521607992,-0.024723685133362084,-0.053610987562189384,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.7514818457174095,-9.093243302252745,-15.801295495876476,0.2879379577569131,0.013565096203050724,0.01717846502464019,0.6496411561965942,-1.26808716476474,-2.385249137878418,-1.0968269270709534,1.5808501243591309,-0.9056523481952112,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6195139849987754,0.4439294905719927,0.12080388380320704,0.24367735897423803,3.122602509825215,-0.024705064586315186,-0.05358311643256827,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.9245834127488146,-9.302523311247752,-15.85172263139699,0.293883360381086,0.014357842922217352,0.0069524379031226016,0.6496368050575256,-1.2680675250342865,-2.3852696418762207,-1.0968030554107209,1.5808501243591309,-0.9056685606585901,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6274852819988155,0.44395042571735777,0.12081395116181673,0.2437155667327926,3.1226544547886057,-0.024819956725611728,-0.05344838163485437,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.6121118865582796,-9.349234879771474,-15.849873375419506,0.30335866327172295,0.016318103798128314,0.012107122991366372,0.649632453918457,-1.268034504061081,-2.3852360248565674,-1.096769855623581,1.5808382034301758,-0.9055989424334925,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6359308360006253,0.44393322064844876,0.12077596728959442,0.24364639757597384,3.122534114120968,-0.02474125085536683,-0.053626760312398034,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.8182714942471143,-9.193537030968011,-15.945617477650707,0.29379776902756466,0.022002455123185778,0.02153535348655878,0.6495999097824097,-1.2681117218783875,-2.385289430618286,-1.0968030852130433,1.5808134078979492,-0.9056814352618616,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6437144629999239,0.44392843954176237,0.1207982098145108,0.2436955131217981,3.122607015777199,-0.024761947375068427,-0.053531663846544494,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.314157241992396,-9.39102284481137,-15.877659151430631,0.3033130877538708,0.02674601403292043,0.017482617118242606,0.6496368050575256,-1.268026815061905,-2.385265350341797,-1.0968193274787446,1.580833911895752,-0.9056318441974085,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6515942299993185,0.44393412872438376,0.12082390234806091,0.24367628068083724,3.122645394546243,-0.024640991374084018,-0.053582343415485276,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.38665697596334125,-9.375683124553223,-15.818807787334654,0.299397506138058,0.02509463820137149,0.009053610122506552,0.6496493220329285,-1.26808716476474,-2.385265350341797,-1.0967611235431214,1.5808826684951782,-0.9056976477252405,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6599429329980921,0.44390834302978427,0.12077837750615329,0.24366932663528235,3.122562422333766,-0.024757764138487865,-0.053640457762887665,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.28496812323292353,-8.983434337786164,-16.169228497841118,0.2854723896879806,0.03214052918371602,0.02239761274358023,0.6496236324310303,-1.268034504061081,-2.3852949142456055,-1.0968638223460694,1.5808424949645996,-0.9056480566607874,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6678063590006786,0.4439292576067617,0.12080501759168895,0.24368083656572412,3.122607731624222,-0.024694882100193497,-0.05364412445404571,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.44459993765909694,-9.338103123862238,-15.734798087882758,0.29745187863095307,0.03697204602801805,0.015612427023975618,0.6496235728263855,-1.268079475765564,-2.385249137878418,-1.096838818197586,1.5808782577514648,-0.9056890646563929,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6756476240007032,0.44391784337209433,0.12078835635849958,0.24367634361310098,3.122584944140282,-0.024754001166156028,-0.05359426169033,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.29822938524114495,-9.238757709943194,-15.941264983882796,0.28743909042842175,0.030168295179931786,0.016824920309156357,0.6496292352676392,-1.26803873599086,-2.385286331176758,-1.096831278210022,1.5808415412902832,-0.90564471880068,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
0.6835559229984938,0.4439267066599094,0.12079814930392724,0.24366698860939745,3.12258933881158,-0.024704982691995944,-0.053598442628228035,0.4439401565633589,0.12080570325978836,0.24369031278190795,3.1226108305914533,-0.024715019233596,-0.053548458762666874,0.0,0.0,0.0,0.0,0.0,0.0,-0.748786810062264,-9.088876307296507,-15.84921212890863,0.28632323246517005,0.022154847888459655,0.011500199058656542,0.649632453918457,-1.268075243835785,-2.385282039642334,-1.0967987340739747,1.580845832824707,-0.905672852193014,0.6496292948722839,-1.2680666607669373,-2.385249137878418,-1.0968020421317597,1.5808424949645996,-0.9056695143329065,1,7,1,0.0
