source_name,rotate_degrees_clockwise,before_sha256,after_sha256,before_size_bytes,after_size_bytes,before_width,before_height,after_width,after_height,backup_original,staging_output
IMG_1167.HEIC,90,56a31c632897643a6a2f84912d2daf09195786814bd6aa90b8536faafe36e493,0606ba3fb85aed94c94f0dcb780fc393c0badd2804bf087ff8e1ed05594ce6f2,2539027,2033439,5712,4284,4284,5712,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/photos_raw.before/IMG_1167.HEIC,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/heic_rotation_staging/IMG_1167.HEIC
IMG_1168.HEIC,90,d635b553f4b54b5479b19d0016efe378371b08760fa65f6f0dfd5d131fa5e5e9,e9115053c59d19678abfd7218725de125d709ea4ab4d856add535742188f6d04,2267861,1826552,5712,4284,4284,5712,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/photos_raw.before/IMG_1168.HEIC,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/heic_rotation_staging/IMG_1168.HEIC
IMG_1187.HEIC,180,75880280a1d3b52f26b5b218ef510e71a758a79295e993992f0540baadc91129,87818a623fa1569b1c7399936fd5a55ecbad03fbef4caab3571985577c220b63,1062131,705507,4032,3024,4032,3024,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/photos_raw.before/IMG_1187.HEIC,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/heic_rotation_staging/IMG_1187.HEIC
IMG_1205.HEIC,180,b3d379953230b36b1f5f2e5ed9257b644eb427b7db4ca542b03d06d838886205,fa6401dd5827b5306827a419afd94d7321cacc0540ae76c9530af63d01bba85b,997834,731566,4032,3024,4032,3024,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/photos_raw.before/IMG_1205.HEIC,/Users/andyl/.codex/backups/onrobot-orientation-md-report-skill-20260519_011959/heic_rotation_staging/IMG_1205.HEIC
